[0.29387755102040813,0.2979591836734694] 728.9219394303052
[0.2979591836734694,0.3020408163265307] 729.5116750143249
[0.3020408163265307,0.30612244897959184] 731.2946458558207
[0.30612244897959184,0.3102040816326531] 734.2916861410813
[0.3102040816326531,0.3142857142857143] 737.7385903234106
[0.3142857142857143,0.31836734693877555] 739.2842479659728
[0.31836734693877555,0.3224489795918368] 743.2125815687418
[0.3224489795918368,0.326530612244898] 744.8675166835743
[0.326530612244898,0.33061224489795915] 747.0839517754622
[0.33061224489795915,0.3346938775510204] 748.0598161947346
[0.3346938775510204,0.3387755102040817] 748.0979181862224
[0.3387755102040817,0.34285714285714286] 748.26075485334
[0.34285714285714286,0.34693877551020413] 746.5301264616271
[0.34693877551020413,0.3510204081632653] 744.0512138080718
[0.3510204081632653,0.35510204081632657] 739.9730441500205
[0.35510204081632657,0.35918367346938784] 736.723226919965
[0.35918367346938784,0.363265306122449] 731.9588649376477
[0.363265306122449,0.36734693877551017] 726.6635800852305
[0.36734693877551017,0.37142857142857144] 721.7248916317441
[0.37142857142857144,0.3755102040816327] 717.7407043825935
[0.3755102040816327,0.379591836734694] 713.3566441501407
[0.379591836734694,0.38367346938775515] 708.7798811474454
[0.38367346938775515,0.3877551020408163] 707.7563873303984
[0.3877551020408163,0.3918367346938776] 705.8921836071173
[0.3918367346938776,0.39591836734693886] 705.5932125055134
[0.39591836734693886,0.4] 704.6823143748609
[0.4,0.4040816326530612] 707.0512389777294
[0.4040816326530612,0.40816326530612246] 707.0937312265435
[0.40816326530612246,0.41224489795918373] 708.9215106179981
[0.41224489795918373,0.416326530612245] 709.6472551363252
[0.416326530612245,0.42040816326530617] 709.710077489895
[0.42040816326530617,0.42448979591836733] 709.5189668213094
[0.42448979591836733,0.4285714285714286] 707.6009477940314
[0.4285714285714286,0.4326530612244899] 704.7000032419882
[0.4326530612244899,0.43673469387755104] 700.3074910574983
[0.43673469387755104,0.4408163265306123] 695.0656431778982
[0.4408163265306123,0.4448979591836735] 687.8514380717925
[0.4448979591836735,0.44897959183673475] 679.6618332536858
[0.44897959183673475,0.453061224489796] 669.0344693395252
[0.453061224489796,0.4571428571428572] 658.4578631135346
[0.4571428571428572,0.46122448979591835] 647.9438771003129
[0.46122448979591835,0.4653061224489796] 635.4690119514238
[0.4653061224489796,0.4693877551020409] 623.5831126111018
[0.4693877551020409,0.47346938775510206] 612.9463874908143
[0.47346938775510206,0.47755102040816333] 602.6101176878192
